fecha;siglas;grupo_edad;hombres;mujeres;enfermos
2020-10-18;SO;70-79;248;225;473
2020-10-18;ZA;70-79;277;274;551
2020-10-18;CyL;70-79;5329;5456;10785
2020-10-18;AV;>80;509;862;1371
2020-10-18;PA;>80;364;631;995
2020-10-18;SO;>80;451;808;1259
2020-10-18;ZA;>80;375;618;993
2020-10-18;CyL;>80;6436;11612;18048
2020-10-15;AV;0-9;263;229;492
2020-10-15;CyL;0-9;4542;4092;8634
2020-10-15;PA;10-19;305;300;605
2020-10-15;SE;10-19;376;346;722
2020-10-15;SO;10-19;161;146;307
2020-10-15;ZA;10-19;192;182;374
2020-10-15;CyL;10-19;4532;4304;8836
2020-10-15;AV;20-29;319;384;703
2020-10-15;BU;20-29;1096;1240;2336
2020-10-15;PA;20-29;413;424;837
2020-10-15;SE;20-29;463;592;1055
2020-10-15;LE;30-39;1019;1530;2549
2020-10-15;SA;30-39;1108;1500;2608
2020-10-15;LE;40-49;1452;2093;3545
2020-10-15;SE;40-49;831;1149;1980
2020-10-15;SO;40-49;435;613;1048
2020-10-15;LE;50-59;1402;2030;3432
2020-10-15;ZA;50-59;429;613;1042
2020-10-15;CyL;50-59;9128;12944;22072
2020-10-15;SE;60-69;808;864;1672
2020-10-15;SO;60-69;344;413;757
2020-10-15;VA;60-69;1324;1616;2940
2020-10-15;SO;70-79;240;219;459
2020-10-15;VA;70-79;999;1080;2079
2020-10-15;AV;>80;507;858;1365
2020-10-15;LE;>80;1074;2004;3078
2020-10-15;PA;>80;348;623;971
2020-10-15;SA;>80;1053;1919;2972
2020-10-15;SE;>80;728;1200;1928
2020-10-15;PA;0-9;234;213;447
2020-10-15;SE;0-9;426;400;826
2020-10-15;SO;0-9;159;145;304
2020-10-15;VA;0-9;1098;947;2045
2020-10-15;BU;10-19;859;739;1598
2020-10-15;VA;10-19;989;979;1968
2020-10-15;SA;20-29;1034;1224;2258
2020-10-15;SO;20-29;258;325;583
2020-10-15;VA;20-29;1310;1496;2806
2020-10-15;CyL;20-29;5992;6970;12962
2020-10-15;SE;30-39;595;774;1369
